,G,E,S
27/9/2016,0.046042837,-0.045596334,-0.015434751
28/9/2016,0.0188144,-0.002183733,-0.041544702
29/9/2016,0.029669975,0.136813024,0.116880846
30/9/2016,-0.06494657,-0.098950666,-0.04050568
3/10/2016,0.058887396,0.070625946,0.059009836
4/10/2016,-0.093602877,0.047718957,0.08684155
5/10/2016,0.03284,0.01016804,-0.042777341
6/10/2016,0.005683336,-0.006514848,0.023674121
7/10/2016,0.051817058,-0.08833079,0.015307545
10/10/2016,-0.047418933,-0.041275605,-0.121829048
11/10/2016,-0.083820076,0.020134378,-0.09500632
12/10/2016,-0.290263468,0.073016432,0.066712663
13/10/2016,0.163412232,0.109680861,0.252523827
14/10/2016,-0.009419802,-0.095230392,-0.051599058
17/10/2016,0.041229067,-0.138485748,-0.117050812
18/10/2016,0.028859924,-0.077031449,-0.019855991
19/10/2016,-0.020092949,-0.035916035,0.125667098
20/10/2016,-0.007736118,-0.058289336,-0.054492337
21/10/2016,0.028328761,-0.096947493,-0.192976585
25/10/2016,-0.147882366,-0.02993453,-0.101164643
26/10/2016,-0.12566254,0.000283616,-0.045493033
27/10/2016,0.012835612,-0.051488712,-0.064411165
28/10/2016,-0.082091727,-0.041648593,-0.123248046
31/10/2016,-0.020581359,-0.052346916,-0.093626675
1/11/2016,0.041872809,-0.070401477,0.142806724
2/11/2016,-0.016631097,0.017383679,-0.019906196
3/11/2016,-0.031598257,-0.04097167,-0.173762861
4/11/2016,0.006879027,-0.022988193,0.017786434
7/11/2016,-0.050023555,0.01280175,0.0653289
8/11/2016,0.058336896,-0.062216224,-0.034710132
9/11/2016,-0.057528653,-0.18766668,-0.057307773
10/11/2016,0.079828385,0.168397268,0.029805961
11/11/2016,-0.015158505,-0.082690766,-0.062118303
14/11/2016,-0.149534277,-0.02332987,-0.090955364
15/11/2016,0.086811627,-0.016203579,0.110988954
16/11/2016,0.000435567,-0.050549217,-0.01799756
17/11/2016,-0.049766293,-0.071433472,-0.009715995
18/11/2016,-0.072022213,0.082468642,0.076303438
21/11/2016,0.030029023,-0.050309044,-0.112009763
22/11/2016,-0.009524091,0.088418005,0.114069481
23/11/2016,0.003270828,-0.009202274,0.113748999
24/11/2016,0.05167313,-0.06761375,-0.039219261
25/11/2016,-0.039972904,-0.064371364,-0.117829847
28/11/2016,-0.040085504,-0.043326971,0.035945358
29/11/2016,-0.053165784,0.044256722,0.059119192
30/11/2016,0.024016066,0.071791591,-0.063487754
1/12/2016,-0.084277575,0.177341501,0.154671368
2/12/2016,0.087812529,0.01148351,-0.054069091
6/12/2016,-0.005010534,0.10347966,0.181305896
7/12/2016,0.038777535,0.039357307,0.022695019
8/12/2016,0.060574844,-0.046758993,-0.012222752
9/12/2016,0.012451699,0.082284967,0.048560558
13/12/2016,0.046334584,0.090407966,0.123677861
14/12/2016,-0.051287651,0.10688455,0.138332314
15/12/2016,-0.114314672,-0.10643084,-0.102590767
16/12/2016,0.094374772,0.086047388,0.110202685
19/12/2016,0.000694292,0.003617682,0.008623173
20/12/2016,0.023841737,0.08416163,0.024617954
21/12/2016,-0.028889984,-0.087392555,0.010435739
22/12/2016,0.036057824,0.042195552,0.068024976
23/12/2016,0.04258657,-0.008241452,0.055055607
